Royalty ID,Asset ISRC,Asset Title,Asset Version,Asset Artist,Asset Duration,Sale net receipts calculation,Sale net receipts,Contract deal term,Contract Reference,Reported Royalty,Asset/Product,Territory,Quantity,Sale Type,Sale User Type,Sale Start date,Sale End date,Sale Store Name,DSP,Royalty Calculation Base,Product Reference,Asset Reference,Product Share,Asset Share,Exchange Rate,Currency,Product Title,Product Artist,Product UPC,Product Catalog Number,Product Label,Report Run ID,Report ID,Sale ID,Statement Run ID,Statement Run Name
24470283190,DEXM82106044,Hamteami,,Sina Sae,233,€0.001325689 × 100% of sale × 100% of asset × 1 €/€ = €,0.001325689,80%,VageMedia,0.0010605512,Asset,KW,1,Streaming,Ad-supported,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675164560,4822,September Statement 
24470286525,DEXM82106044,Hamteami,,Sina Sae,233,€0.001325689 × 100% of sale × 100% of asset × 1 €/€ = €,0.001325689,80%,VageMedia,0.0010605512,Asset,KW,1,Streaming,Premium,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675164571,4822,September Statement 
24470319298,DEXM82106044,Hamteami,,Sina Sae,233,€0.038584 × 100% of sale × 100% of asset × 1 €/€ = €,0.038584,80%,VageMedia,0.0308672,Asset,NL,13,Streaming,Ad-supported,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675194936,4822,September Statement 
24470317541,DEXM82106044,Hamteami,,Sina Sae,233,€0.005936 × 100% of sale × 100% of asset × 1 €/€ = €,0.005936,80%,VageMedia,0.0047488,Asset,NL,2,Streaming,Family plan,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675194955,4822,September Statement 
24470322459,DEXM82106044,Hamteami,,Sina Sae,233,€0.002968 × 100% of sale × 100% of asset × 1 €/€ = €,0.002968,80%,VageMedia,0.0023744,Asset,NL,1,Streaming,Premium,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675194980,4822,September Statement 
24470316763,DEXM82106044,Hamteami,,Sina Sae,233,€0.002968 × 100% of sale × 100% of asset × 1 €/€ = €,0.002968,80%,VageMedia,0.0023744,Asset,NL,1,Streaming,Student,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675194991,4822,September Statement 
24470339256,DEXM82106044,Hamteami,,Sina Sae,233,€0.004038957 × 100% of sale × 100% of asset × 1 €/€ = €,0.004038957,80%,VageMedia,0.0032311656,Asset,NO,1,Streaming,Family plan,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675210223,4822,September Statement 
24470348198,DEXM82106044,Hamteami,,Sina Sae,233,€0.031528752 × 100% of sale × 100% of asset × 1 €/€ = €,0.031528752,80%,VageMedia,0.0252230016,Asset,NZ,10,Streaming,Family plan,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675216328,4822,September Statement 
24470351555,DEXM82106044,Hamteami,,Sina Sae,233,€0.000637745 × 100% of sale × 100% of asset × 1 €/€ = €,0.000637745,80%,VageMedia,0.000510196,Asset,PH,1,Streaming,Family plan,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675219899,4822,September Statement 
24470350606,DEXM82106044,Hamteami,,Sina Sae,233,€0.00127549 × 100% of sale × 100% of asset × 1 €/€ = €,0.00127549,80%,VageMedia,0.001020392,Asset,PH,2,Streaming,Family plan,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675219909,4822,September Statement 
